MySQL [gc_sp21_dinosaurherd_log]> \. queries/maxLevelReached.sql
+--------------------------------------+--------------------------------------+-----------+
| uid                                  | sessionid                            | max_level |
| 35A98C1F-0727-2C3A-E586-C9ECD255DC20 | C86823E5-ED57-2A82-F86C-25E854020783 |         2 |
| 35A98C1F-0727-2C3A-E586-C9ECD255DC20 | DB5930FE-808F-2EA2-33B9-72EFBD566361 |         2 |
| 366231B5-25CE-9AA8-E697-B7A2A2E946FA | 1CC8C494-EF68-4463-8AEA-2848C1BAC5FB |         1 |
| 366231B5-25CE-9AA8-E697-B7A2A2E946FA | 86723113-366C-765B-E464-29B5EFABCB4A |         1 |
| 3D9BA673-F607-5F4D-AA4F-4BD1BB0B8388 | NULL                                 |        10 |
| 3D9BA673-F607-5F4D-AA4F-4BD1BB0B8388 | 3A1132C5-7F24-A9DB-9424-4E1C25E0BF66 |         2 |
| 3D9BA673-F607-5F4D-AA4F-4BD1BB0B8388 | 93BD8D5B-3E82-9B20-0A58-39E2B2424CB5 |         4 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | NULL                                 |         1 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | 0076205D-7651-7577-F372-866EFBDAFB11 |         2 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | 00B4CA57-109E-48A8-1AF7-9DA0DCC2032B |         2 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | 04498CAA-71D9-8C2F-3ABF-3A5DC498A0CD |         9 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | 065DC44F-FB59-4B0F-1B53-9F89DC2F50F3 |         8 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | 098F0CC9-24F6-6AC8-2FD2-C34D8C0842FC |         1 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | 0CF85BE3-D9D6-E903-43BE-6B9C7D24C05F |         1 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | 0F53C98B-E5AC-279F-A301-96A996549141 |         5 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | 0F757C5D-FE95-6D92-B94D-AF761D3C9B60 |         5 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | 128B7058-B234-5A48-6668-6A05800E08E9 |         8 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | 15DB5423-F49E-5050-C44C-BA87568C4A90 |         4 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | 1AC222FC-1FA3-D13B-EFAB-3A4935699B92 |         8 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | 20807A15-CCA2-15A2-0D8E-77CB85B3E627 |         8 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | 20DAF7F9-F4D0-7B33-B6DA-AE656E6510C3 |         8 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | 22961783-09E9-8849-F4F8-955AADF79EF6 |        11 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | 23A52C83-19F9-65C5-2F3D-86822F4D3FB7 |         1 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | 27C87EB2-A5A7-FBC6-BC11-60C9DA27B1DA |        10 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | 32B22B93-B72D-4F45-81E9-D037C2C6552C |         7 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | 3C31061B-024E-9C6C-6785-2418659CD61C |        11 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | 3EB308F0-1E0A-EFFB-8A63-D9F919FE4505 |         1 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | 42E92889-D01F-567C-D598-DFC258513C51 |         9 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | 447C8258-EE79-F82C-330C-ED29724EFE9C |         5 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | 46098F41-789F-4878-665C-18804F9942B9 |         9 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | 46372AA7-FC1B-898B-773C-AE54753F6CC8 |         3 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | 46A0791D-43E5-3221-F6E0-43206E1BDCFD |         4 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | 48B01286-96D8-69C2-DA8D-1D0C1F7C2F56 |         7 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | 4AA7E02B-51B7-E25F-8A9C-3C978483DB8D |         3 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | 4AB31E8C-554D-0A76-7863-B3A872FC4A00 |         8 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | 4C1CB3BF-EB80-6035-7387-A2D1FE37471D |        11 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | 4C47B7B3-B94E-3A5A-9937-0194B4699400 |         6 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | 4F916CDC-7BBE-09BF-DBB4-A470DF0CFA46 |         8 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | 5B2AD627-E3D1-0A9D-9A2A-62063BD4857B |         5 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | 5D4B9533-1FC7-A42A-54CA-69FE4941245F |         8 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | 5D80F65F-E93C-92D5-D2D6-46FF7BEA2871 |         2 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | 62BD9E1E-3EF7-59B0-AD85-5BC559B3FED8 |         3 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | 66CED737-815B-757A-C6D3-E4E9F4F091BA |         8 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | 67FF7D9A-C4AC-34B2-86E8-7DCBE8453C5A |        12 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | 68DED2F6-55ED-52C0-B92C-CC37379F9AD0 |         3 |
| 44F924F9-7413-F621-F8AA-017B1667D4FB | 69FDB01C-F51F-4175-4B49-770383AFB41C |        11 |
