log_no_quest_id,gid,cid,log_ts,aid,a_detail,uid,vid,sessionid,session_seqid,client_ts,multiplayer_uid,multiplayer_seqid
51,202107,1,1621912265,0,[],61F2CF48-1BE7-8576-E22F-351978F53446,1,80EF09C2-8E84-EB55-AFAC-F028A3C5B933,1,1621912264876,NULL,0
52,202107,1,1621912822,1,[],61F2CF48-1BE7-8576-E22F-351978F53446,1,NULL,1,1621912822749,NULL,0
53,202107,4,1621913005,0,[],92278E55-D4C3-120C-489E-789AE1BD4998,1,01A1279D-1712-D4CC-67F3-A1575DB2C082,1,1621913005013,NULL,0
54,202107,1,1621913216,0,[],61F2CF48-1BE7-8576-E22F-351978F53446,1,5E396213-068B-728C-8A9A-2B544B97BF18,1,1621913216124,NULL,0
55,202107,1,1621913283,0,[],61F2CF48-1BE7-8576-E22F-351978F53446,1,NULL,1,1621913283125,NULL,0
56,202107,4,1621914051,1,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,F0B9362D-6695-ED77-C728-3C768E4D6518,1,1621914051363,NULL,0
57,202107,4,1621914234,1,[],6F041820-AAE5-BFEF-793B-705B6B74D27C,1,9A3B2042-5253-47F3-A065-8ED00C0EC632,4,1621914233545,NULL,0
58,202107,4,1621921345,0,[],B9F418B1-9C91-96CE-478C-9DB16DC82281,1,571A69E8-E312-371B-E256-B7984ED4D523,1,1621921347168,NULL,0
59,202107,4,1621921598,0,[],B9F418B1-9C91-96CE-478C-9DB16DC82281,1,571A69E8-E312-371B-E256-B7984ED4D523,551,1621921600212,NULL,0
60,202107,4,1621921745,0,[],B9F418B1-9C91-96CE-478C-9DB16DC82281,1,571A69E8-E312-371B-E256-B7984ED4D523,1005,1621921746901,NULL,0
61,202107,4,1621921817,0,[],B9F418B1-9C91-96CE-478C-9DB16DC82281,1,571A69E8-E312-371B-E256-B7984ED4D523,1468,1621921818914,NULL,0
62,202107,4,1621922113,1,[],B9F418B1-9C91-96CE-478C-9DB16DC82281,1,571A69E8-E312-371B-E256-B7984ED4D523,2350,1621922115025,NULL,0
63,202107,4,1621922306,0,[],B9F418B1-9C91-96CE-478C-9DB16DC82281,1,571A69E8-E312-371B-E256-B7984ED4D523,2775,1621922307383,NULL,0
64,202107,4,1621922436,1,[],B9F418B1-9C91-96CE-478C-9DB16DC82281,1,571A69E8-E312-371B-E256-B7984ED4D523,3451,1621922438192,NULL,0
65,202107,4,1621922800,1,[],B9F418B1-9C91-96CE-478C-9DB16DC82281,1,571A69E8-E312-371B-E256-B7984ED4D523,4264,1621922801927,NULL,0
66,202107,4,1621922809,1,[],2B6281B4-26B3-FC89-0F3E-25C32CFC6D6C,1,F0DF0226-EA6A-A52D-76C3-3423967F8926,1,1621922809118,NULL,0
67,202107,4,1621922868,0,[],B9F418B1-9C91-96CE-478C-9DB16DC82281,1,571A69E8-E312-371B-E256-B7984ED4D523,4698,1621922870217,NULL,0
68,202107,4,1621922963,1,[],82FD482C-D899-8BDA-FF26-891A344D49D4,1,1393CE2F-8F2C-7CA2-E5BA-F41A29FCCB2A,4,1621922963833,NULL,0
69,202107,4,1621923097,1,[],56691F91-8082-900E-5CC9-4199F26749AF,1,7BCE950F-EA60-798B-6406-17F7C2D94C6B,1,1621923097029,NULL,0
70,202107,4,1621923121,1,[],B9F418B1-9C91-96CE-478C-9DB16DC82281,1,571A69E8-E312-371B-E256-B7984ED4D523,5448,1621923122562,NULL,0
71,202107,4,1621923275,1,[],B9F418B1-9C91-96CE-478C-9DB16DC82281,1,571A69E8-E312-371B-E256-B7984ED4D523,5697,1621923276862,NULL,0
72,202107,4,1621923436,0,[],B9F418B1-9C91-96CE-478C-9DB16DC82281,1,571A69E8-E312-371B-E256-B7984ED4D523,6372,1621923437238,NULL,0
73,202107,4,1621924936,0,[],6F041820-AAE5-BFEF-793B-705B6B74D27C,1,9A3B2042-5253-47F3-A065-8ED00C0EC632,4283,1621924935473,NULL,0
74,202107,4,1621924997,1,[],6F041820-AAE5-BFEF-793B-705B6B74D27C,1,9A3B2042-5253-47F3-A065-8ED00C0EC632,4524,1621924996317,NULL,0
75,202107,4,1621925055,1,[],6F041820-AAE5-BFEF-793B-705B6B74D27C,1,9A3B2042-5253-47F3-A065-8ED00C0EC632,4722,1621925054537,NULL,0
76,202107,4,1621925101,1,[],6F041820-AAE5-BFEF-793B-705B6B74D27C,1,9A3B2042-5253-47F3-A065-8ED00C0EC632,4888,1621925100699,NULL,0
77,202107,4,1621925814,1,[],EE5C04A0-DAD3-630D-A1D9-E7A2ECF3B1A8,1,10F967ED-EEBD-BCEF-CA0D-30804ACA6729,4,1621925815321,NULL,0
78,202107,4,1621926453,1,[],87AC43E2-977E-5CB2-AC2B-EAC25CC736DE,1,DAF1276A-E0CF-6CBC-2170-AB806DC1BE9C,1,1621926453213,NULL,0
79,202107,4,1621931365,1,[],4B6F7269-E455-EC15-117C-806DFC1A059E,1,B57B6920-DD90-FD27-FB57-045D50156577,4,1621931366704,NULL,0
80,202107,4,1621932004,1,[],41722A5E-8DAF-4EF8-8BDD-CFB3DDFB6B73,1,A80BACCC-D799-BC15-D3C7-71286348E86E,1,1621932344379,NULL,0
81,202107,4,1621958224,0,[],92BDA6CB-688A-E109-BDDF-F5F971CFB40B,1,7532C076-386A-CE51-5DE8-9FCBD15D5AAE,1,1621958224649,NULL,0
82,202107,4,1621963262,0,[],8B95E903-5109-B71E-68E5-BEFCC7C7F51A,1,4B7FE04A-7232-D777-F514-4DFE2B95B1AD,1,1621963262720,NULL,0
83,202107,4,1621965043,1,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,A21440EA-7EB8-3E62-F3D3-4A6B2B239D0A,1,1621965043753,NULL,0
84,202107,4,1621965153,0,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,A21440EA-7EB8-3E62-F3D3-4A6B2B239D0A,225,1621965153682,NULL,0
85,202107,4,1621968803,0,[],23962816-88E4-BB25-B064-B9C41B7124D9,1,68CCE2A3-82F7-5823-E1AF-4ED82533F08A,4,1621968803870,NULL,0
86,202107,4,1621971135,0,[],C9E69A59-BF2D-F1D5-AAF4-6B0E42DF4816,1,414C5094-E59F-71BF-6558-0D7BE1DEB575,1,1621971134966,NULL,0
87,202107,4,1621990808,0,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,5894176E-BE93-4045-3D46-1EFCF2C5322C,1,1621990808499,NULL,0
88,202107,4,1621990839,1,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,2B894836-B5ED-56DF-D386-8CB4B790DA66,1,1621990839639,NULL,0
89,202107,4,1621990903,0,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,99C7BCB8-A9E0-B563-ECCC-F8CC5D420ED9,1,1621990903338,NULL,0
90,202107,1,1621990976,1,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,F7538EE8-AA31-E6BF-523E-2D67954217AB,1,1621990976121,NULL,0
91,202107,1,1621991198,0,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,5E8E6222-A80E-0353-7627-D59271EC3EA1,1,1621991198754,NULL,0
92,202107,1,1621991283,1,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,45B26EED-D0F8-DE9F-60EB-E8938586C160,1,1621991283370,NULL,0
93,202107,1,1621991311,1,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,F004A661-C29E-7DAD-651C-5C594BB75F16,1,1621991311586,NULL,0
94,202107,1,1621991783,0,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,A0DE3000-BB95-D6F6-35A6-CAAA22979DC9,1,1621991783333,NULL,0
95,202107,1,1621991891,1,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,05B6C30E-F4F5-354B-BF00-DC521ECF384C,1,1621991891100,NULL,0
