18,9A9D579E-27B1-12CA-5997-5F05E127AA61,0,1620589566,202107,1,1,205.175.97.218,"{""user_agent"":""Mozilla\/5.0",(Macintosh;,Intel,Mac,OS,X,10_15_6),AppleWebKit\/605.1.15,"(KHTML,",like,Gecko),Version\/13.1.2,"Safari\/605.1.15""}",0,7AACAB7B-0CFF-8BEC-FAE7-95DD5504147D,1620590162450,NULL,127.0.0.1,/,0
19,9A9D579E-27B1-12CA-5997-5F05E127AA61,0,1620589584,202107,1,1,205.175.97.218,"{""user_agent"":""Mozilla\/5.0",(Macintosh;,Intel,Mac,OS,X,10_15_6),AppleWebKit\/605.1.15,"(KHTML,",like,Gecko),Version\/13.1.2,"Safari\/605.1.15""}",0,23F8200C-52F2-C252-97E7-4F1C85B70654,1620590180430,NULL,127.0.0.1,/,0
20,9A9D579E-27B1-12CA-5997-5F05E127AA61,0,1620589653,202107,1,1,205.175.97.218,"{""user_agent"":""Mozilla\/5.0",(Macintosh;,Intel,Mac,OS,X,10_15_6),AppleWebKit\/605.1.15,"(KHTML,",like,Gecko),Version\/13.1.2,"Safari\/605.1.15""}",0,9087E12E-5EC0-50DD-BEA4-B6A94B1A8F6C,1620590249694,NULL,127.0.0.1,/,0
21,9A9D579E-27B1-12CA-5997-5F05E127AA61,0,1620589789,202107,1,1,205.175.97.218,"{""user_agent"":""Mozilla\/5.0",(Macintosh;,Intel,Mac,OS,X,10_15_6),AppleWebKit\/605.1.15,"(KHTML,",like,Gecko),Version\/13.1.2,"Safari\/605.1.15""}",0,8E4D5977-5055-05A3-6443-21255AFA4E0B,1620590385697,NULL,127.0.0.1,/,0
22,9A9D579E-27B1-12CA-5997-5F05E127AA61,0,1620590070,202107,1,1,205.175.97.218,"{""user_agent"":""Mozilla\/5.0",(Macintosh;,Intel,Mac,OS,X,10_15_6),AppleWebKit\/605.1.15,"(KHTML,",like,Gecko),Version\/13.1.2,"Safari\/605.1.15""}",0,67785263-E192-1268-495E-9F33120A38AC,1620590666722,NULL,127.0.0.1,/,0
23,9A9D579E-27B1-12CA-5997-5F05E127AA61,0,1620590170,202107,1,1,205.175.97.218,"{""user_agent"":""Mozilla\/5.0",(Macintosh;,Intel,Mac,OS,X,10_15_6),AppleWebKit\/605.1.15,"(KHTML,",like,Gecko),Version\/13.1.2,"Safari\/605.1.15""}",0,1F054DCF-5471-8F32-4736-2E2F4BA8A916,1620590766205,NULL,127.0.0.1,/,0
24,9A9D579E-27B1-12CA-5997-5F05E127AA61,0,1620590376,202107,1,1,205.175.97.218,"{""user_agent"":""Mozilla\/5.0",(Macintosh;,Intel,Mac,OS,X,10_15_6),AppleWebKit\/605.1.15,"(KHTML,",like,Gecko),Version\/13.1.2,"Safari\/605.1.15""}",0,895B90ED-ADDC-9717-EDDA-AB637914E9DD,1620590972319,NULL,127.0.0.1,/,0
25,9A9D579E-27B1-12CA-5997-5F05E127AA61,0,1620590409,202107,1,1,205.175.97.218,"{""user_agent"":""Mozilla\/5.0",(Macintosh;,Intel,Mac,OS,X,10_15_6),AppleWebKit\/605.1.15,"(KHTML,",like,Gecko),Version\/13.1.2,"Safari\/605.1.15""}",0,8E10167E-106B-AECA-D1DB-A766CA9E5216,1620591005391,NULL,127.0.0.1,/,0
26,9A9D579E-27B1-12CA-5997-5F05E127AA61,0,1620590598,202107,1,1,205.175.97.218,"{""user_agent"":""Mozilla\/5.0",(Macintosh;,Intel,Mac,OS,X,10_15_6),AppleWebKit\/605.1.15,"(KHTML,",like,Gecko),Version\/13.1.2,"Safari\/605.1.15""}",0,25259F44-7667-50D3-CC09-9671185748B1,1620591194493,NULL,127.0.0.1,/,0
27,9A9D579E-27B1-12CA-5997-5F05E127AA61,0,1620590652,202107,1,1,205.175.97.218,"{""user_agent"":""Mozilla\/5.0",(Macintosh;,Intel,Mac,OS,X,10_15_6),AppleWebKit\/605.1.15,"(KHTML,",like,Gecko),Version\/13.1.2,"Safari\/605.1.15""}",0,52F953A4-D067-4B62-A7E4-C8B62CF15FDE,1620591248234,NULL,127.0.0.1,/,0
28,9A9D579E-27B1-12CA-5997-5F05E127AA61,0,1620590657,202107,1,1,205.175.97.218,"{""user_agent"":""Mozilla\/5.0",(Macintosh;,Intel,Mac,OS,X,10_15_6),AppleWebKit\/605.1.15,"(KHTML,",like,Gecko),Version\/13.1.2,"Safari\/605.1.15""}",0,7098B4AD-6D0F-4E07-FB0E-9E06F87ECE16,1620591254100,NULL,127.0.0.1,/,0
29,9A9D579E-27B1-12CA-5997-5F05E127AA61,0,1620590764,202107,1,1,205.175.97.218,"{""user_agent"":""Mozilla\/5.0",(Macintosh;,Intel,Mac,OS,X,10_15_6),AppleWebKit\/605.1.15,"(KHTML,",like,Gecko),Version\/13.1.2,"Safari\/605.1.15""}",0,D23C9B00-B0C2-EE8E-C1FB-80F16B0D6D43,1620591360196,NULL,127.0.0.1,/,0
30,9A9D579E-27B1-12CA-5997-5F05E127AA61,0,1620590855,202107,1,1,205.175.97.218,"{""user_agent"":""Mozilla\/5.0",(Macintosh;,Intel,Mac,OS,X,10_15_6),AppleWebKit\/605.1.15,"(KHTML,",like,Gecko),Version\/13.1.2,"Safari\/605.1.15""}",0,B27D52A1-E5D2-4A2E-1A08-314E95F95429,1620591451701,NULL,127.0.0.1,/,0
31,9A9D579E-27B1-12CA-5997-5F05E127AA61,0,1620590914,202107,1,1,205.175.97.218,"{""user_agent"":""Mozilla\/5.0",(Macintosh;,Intel,Mac,OS,X,10_15_6),AppleWebKit\/605.1.15,"(KHTML,",like,Gecko),Version\/13.1.2,"Safari\/605.1.15""}",0,A1CE546D-60E4-90F1-E496-3B050610FEAC,1620591510848,NULL,127.0.0.1,/,0
