log_q_id,qid,log_q_ts,uid,gid,vid,cid,dqid,parent_dqid,q_detail,ae_seq_id,q_s_id,g_s_id,tid,cd_id,quest_seqid,qaction_seqid,session_seqid,sessionid,client_ts,foreign_game_id,multiplayer_seqid,quest_hash
4452,4,1621198816,8B95E903-5109-B71E-68E5-BEFCC7C7F51A,202107,1,2,92E60672-D047-3A34-A96F-2F5C1BEC2A66,NULL,"{""score"":0}",NULL,1,1,1,0,4,1,7,4192EECC-2A46-EB0F-EDBD-722586EF39AA,1621198816143,0,0,NULL
4453,4,1621198816,8B95E903-5109-B71E-68E5-BEFCC7C7F51A,202107,1,2,92E60672-D047-3A34-A96F-2F5C1BEC2A66,NULL,"{""deathCount"":0,""score"":0,""time"":0.3,""preyCollected"":0,""predCollected"":0,""preyDeaths"":0}",NULL,0,1,1,0,0,2,8,4192EECC-2A46-EB0F-EDBD-722586EF39AA,1621198816429,0,0,NULL
4454,10,1621198816,44F924F9-7413-F621-F8AA-017B1667D4FB,202107,1,2,8D48145F-169E-9202-3720-5B616777D199,NULL,"{""score"":0}",NULL,1,1,1,0,10,1,19,69FDB01C-F51F-4175-4B49-770383AFB41C,1621198816698,0,0,NULL
4455,5,1621198817,8B95E903-5109-B71E-68E5-BEFCC7C7F51A,202107,1,2,0EBB3DF7-F4F1-07D6-59DC-582EBE94EDC8,NULL,"{""score"":0}",NULL,1,1,1,0,5,1,9,4192EECC-2A46-EB0F-EDBD-722586EF39AA,1621198816878,0,0,NULL
4456,10,1621198817,44F924F9-7413-F621-F8AA-017B1667D4FB,202107,1,2,8D48145F-169E-9202-3720-5B616777D199,NULL,"{""deathCount"":0,""score"":0,""time"":0.31666666666667,""preyCollected"":0,""predCollected"":0,""preyDeaths"":0}",NULL,0,1,1,0,0,2,20,69FDB01C-F51F-4175-4B49-770383AFB41C,1621198817006,0,0,NULL
4457,5,1621198817,8B95E903-5109-B71E-68E5-BEFCC7C7F51A,202107,1,2,0EBB3DF7-F4F1-07D6-59DC-582EBE94EDC8,NULL,"{""deathCount"":0,""score"":0,""time"":0.31666666666667,""preyCollected"":0,""predCollected"":0,""preyDeaths"":0}",NULL,0,1,1,0,0,2,10,4192EECC-2A46-EB0F-EDBD-722586EF39AA,1621198817179,0,0,NULL
4458,11,1621198817,44F924F9-7413-F621-F8AA-017B1667D4FB,202107,1,2,10174260-22D0-2376-C6C0-4E6083E6C989,NULL,"{""score"":0}",NULL,1,1,1,0,11,1,21,69FDB01C-F51F-4175-4B49-770383AFB41C,1621198817238,0,0,NULL
4459,6,1621198817,8B95E903-5109-B71E-68E5-BEFCC7C7F51A,202107,1,2,C18F4657-78A6-713B-5B47-6E7D5A7CF468,NULL,"{""score"":0}",NULL,1,1,1,0,6,1,11,4192EECC-2A46-EB0F-EDBD-722586EF39AA,1621198817604,0,0,NULL
4460,11,1621198818,44F924F9-7413-F621-F8AA-017B1667D4FB,202107,1,2,10174260-22D0-2376-C6C0-4E6083E6C989,NULL,"{""deathCount"":1,""score"":0,""time"":0.55,""preyCollected"":0,""predCollected"":0,""preyDeaths"":36}",NULL,0,1,1,0,0,3,23,69FDB01C-F51F-4175-4B49-770383AFB41C,1621198817903,0,0,NULL
4461,6,1621198818,8B95E903-5109-B71E-68E5-BEFCC7C7F51A,202107,1,2,C18F4657-78A6-713B-5B47-6E7D5A7CF468,NULL,"{""deathCount"":0,""score"":0,""time"":0.35,""preyCollected"":0,""predCollected"":0,""preyDeaths"":0}",NULL,0,1,1,0,0,2,12,4192EECC-2A46-EB0F-EDBD-722586EF39AA,1621198817929,0,0,NULL
